"0 nothing
","1 someone
"
1,[0.00000808 0.9999919 ]
1,[0.00005346 0.9999466 ]
1,[0.00002639 0.99997365]
1,[0.00016778 0.99983215]
1,[0.00020493 0.99979514]
1,[0.0000821  0.99991786]
1,[0.00000885 0.9999912 ]
1,[0.00003453 0.9999654 ]
1,[0.00008268 0.99991727]
1,[0.00025658 0.9997434 ]
1,[0.00063367 0.99936634]
1,[0.00038653 0.99961346]
1,[0.00021776 0.99978226]
1,[0.00009525 0.99990475]
1,[0.00016584 0.9998342 ]
1,[0.00027046 0.9997296 ]
1,[0.00042943 0.99957055]
1,[0.00008648 0.99991345]
1,[0.00007551 0.99992454]
1,[0.00001937 0.9999807 ]
1,[0.00000016 0.9999999 ]
1,[0.00000007 0.9999999 ]
1,[0.00000007 0.9999999 ]
1,[0.00000003 1.        ]
1,[0.00000004 1.        ]
1,[0.00000007 0.9999999 ]
1,[0.00000002 1.        ]
1,[0.00000007 0.9999999 ]
1,[0.00000006 1.        ]
1,[0.00000006 1.        ]
1,[0.00000002 1.        ]
1,[0.00000007 0.9999999 ]
1,[0.0000001 0.9999999]
1,[0.00000008 0.9999999 ]
1,[0.00000016 0.9999999 ]
1,[0.00000014 0.9999999 ]
1,[0.00000002 1.        ]
1,[0.00000001 1.        ]
1,[0.00000001 1.        ]
1,[0.00000003 1.        ]
1,[0.00000643 0.99999356]
1,[0.00004541 0.9999546 ]
1,[0.00004426 0.9999558 ]
1,[0.00005033 0.9999497 ]
1,[0.00010543 0.9998945 ]
1,[0.00025917 0.9997408 ]
1,[0.00028709 0.9997129 ]
1,[0.0002146  0.99978536]
1,[0.00020454 0.9997955 ]
1,[0.00066257 0.9993374 ]
1,[0.00047642 0.99952364]
1,[0.00039397 0.9996061 ]
1,[0.00024513 0.99975485]
1,[0.00022333 0.99977666]
1,[0.00008772 0.99991226]
1,[0.00005904 0.999941  ]
1,[0.00005373 0.99994624]
1,[0.00015162 0.99984837]
1,[0.00020898 0.9997911 ]
1,[0.00002448 0.99997556]
1,[0.00001763 0.99998236]
