"0 nothing
","1 someone
",
"0","0.9750788",0.024921171
"0","0.96241736",0.037582655
"0","0.97260755",0.02739245
"0","0.94716",0.052840028
"0","0.85468096",0.14531909
"0","0.89953095",0.10046909
"0","0.7941256",0.20587438
"0","0.6706923",0.32930765
"1","0.29329842",0.7067015
"0","0.60106796",0.39893198
"0","0.84753627",0.15246373
"0","0.8239616",0.1760384
"0","0.94260496",0.057395097
"0","0.96064436",0.039355602
"0","0.94525546",0.054744568
"0","0.9747192",0.02528083
"0","0.93541783",0.064582154
"0","0.87775934",0.12224071
"1","0.001465168",0.9985348
"0","0.95956856",0.040431377
"0","0.96572644",0.034273498
"0","0.9674808",0.032519236
"0","0.9625062",0.037493806
"0","0.96875113",0.031248845
"0","0.9723724",0.027627561
"0","0.9684029",0.031597123
"0","0.9793258",0.02067417
"0","0.9767123",0.023287732
"0","0.98184264",0.018157372
"0","0.824069",0.17593099
"0","0.92368764",0.07631231
"0","0.9119109",0.08808908
"0","0.9037236",0.09627647
"0","0.9733892",0.02661076
"0","0.96872777",0.031272225
"0","0.99520785",0.004792171
"0","0.99463934",0.0053606387
"0","0.9955331",0.004466865
"0","0.9953644",0.004635531
"0","0.99489486",0.0051051443
"0","0.9963659",0.0036340696
"0","0.9965844",0.0034155806
"0","0.9964134",0.0035866194
"0","0.9963198",0.0036802115
"0","0.99721414",0.002785867
"0","0.9973912",0.002608733
"0","0.99646",0.003539983
"0","0.99733514",0.0026648883
"0","0.9969638",0.0030362185
"0","0.996376",0.0036240092
"0","0.9945738",0.0054262383
"0","0.9925902",0.007409787
"0","0.9961565",0.003843464
"0","0.99404585",0.0059540826
"0","0.9961224",0.0038775988
"0","0.9970066",0.002993377
"0","0.99712616",0.0028737972
"0","0.99702567",0.0029743412
"0","0.9968635",0.0031365901
"0","0.99661034",0.0033896412
"0","0.99410087",0.0058991476
"0","0.99597126",0.0040286933
"0","0.99616194",0.0038380309
"0","0.9958009",0.0041991104
"0","0.9956038",0.0043961974
"0","0.9893638",0.01063613
"0","0.996959",0.0030410227
"0","0.9896584",0.010341565
"0","0.9635615",0.036438536
"0","0.90041894",0.09958103
"0","0.9152822",0.08471781
"0","0.9921495",0.007850509
"0","0.99300766",0.0069922935
"0","0.98982716",0.010172847
"0","0.99011797",0.009882077
"0","0.9952114",0.004788659
"0","0.99636155",0.003638456
"0","0.9949367",0.005063334
"0","0.996318",0.0036820443
"0","0.99648297",0.0035170068
"0","0.99148726",0.008512699
"0","0.9920372",0.0079627745
"0","0.9923826",0.00761745
"0","0.99233025",0.0076698046
"0","0.99132746",0.008672483
"0","0.99066085",0.009339185
"0","0.992211",0.0077889706
"0","0.9949479",0.0050520543
"0","0.99054927",0.009450755
"0","0.9659033",0.0340967
"0","0.96158445",0.038415536
"0","0.687277",0.31272292
"0","0.8970636",0.10293632
"0","0.8072641",0.19273594
"0","0.8939741",0.10602584
"0","0.9926663",0.0073336633
"0","0.99287814",0.0071218535
"0","0.99429363",0.0057063294
"0","0.991106",0.00889402
"0","0.9966852",0.0033147496
"0","0.9970759",0.0029241452
"0","0.99617344",0.0038265262
"0","0.99483263",0.0051673935
"0","0.9961708",0.0038291498
"0","0.993721",0.006278961
"0","0.9902098",0.009790189
"0","0.9869681",0.013031898
"0","0.98917806",0.010821925
"0","0.9869019",0.013098092
"0","0.99279433",0.0072056456
"0","0.98234516",0.017654862
"0","0.987282",0.012718072
"0","0.9273538",0.072646216
"0","0.9678541",0.032145947
"0","0.9784721",0.021527842
"0","0.99159086",0.008409168
"0","0.9946203",0.005379703
"0","0.9884765",0.011523451
"0","0.9817887",0.01821128
"0","0.9616679",0.038332105
"0","0.9831271",0.016872842
"0","0.9831186",0.01688134
"0","0.9783835",0.021616522
"0","0.9913623",0.008637781
"0","0.95819604",0.041803874
"1","0.16426015",0.8357398
"1","0.002016834",0.9979831
"1","0.0012850828",0.9987149
"1","0.014081674",0.9859183
"1","0.00026719988",0.9997328
"1","0.0002270871",0.99977297
"1","0.0002823801",0.99971765
"1","0.00023079307",0.9997693
"1","0.00017816595",0.99982184
"1","0.002693548",0.99730647
"1","0.009609792",0.9903902
"1","3.113248e-05",0.9999689
"1","0.0045919293",0.995408
"1","0.0066361753",0.99336386
"1","0.0026862158",0.9973138
"1","9.89471e-06",0.9999901
"1","0.000101700316",0.9998983
"1","0.0001641504",0.99983585
"1","0.018978482",0.9810215
"1","0.0033142709",0.9966857
"1","0.0038831262",0.9961169
"1","0.0013953476",0.9986047
"1","0.0007432339",0.9992568
"1","0.006424902",0.99357504
"1","0.01686897",0.98313105
"1","0.028297499",0.9717026
"1","0.44572088",0.55427915
"1","0.11491458",0.88508546
"1","0.08630238",0.91369754
"1","0.063730545",0.9362694
"1","0.0123096295",0.9876903
"1","0.4954932",0.50450677
"1","0.0042084916",0.99579144
"0","0.5794244",0.4205757
"1","0.002729732",0.9972703
"1","0.17574245",0.8242575
"1","0.00052658067",0.9994734
"1","0.0005086079",0.99949133
"1","0.00011299654",0.999887
"1","3.0080166e-06",0.999997
"1","3.2210414e-06",0.9999968
"1","8.325275e-06",0.99999166
"1","0.0011075299",0.9988925
"1","0.002098656",0.9979013
"1","0.0015832884",0.99841666
"1","0.00035709149",0.99964285
"1","0.00033639593",0.9996636
"1","0.0003026743",0.9996973
"1","0.012477066",0.9875229
"1","0.0053544617",0.9946456
"1","0.0023382863",0.9976617
"1","0.034349926",0.9656501
"1","0.01310454",0.9868954
"1","0.0019630305",0.99803704
"1","0.00014480905",0.99985516
"1","0.0026401686",0.9973598
"1","0.0007797669",0.99922025
"1","0.0028908965",0.9971091
"1","0.0003263804",0.9996736
"1","0.00013000975",0.99986994
"0","0.8284157",0.17158431
"0","0.8539466",0.14605342
"0","0.8950551",0.104944885
"0","0.950157",0.04984301
"0","0.9390061",0.060993884
"0","0.91686183",0.083138235
"0","0.55215156",0.4478485
"0","0.9501208",0.049879164
"0","0.9450876",0.054912366
"1","0.1665761",0.83342385
"0","0.96564275",0.034357216
"0","0.9247152",0.07528472
"0","0.9680333",0.031966627
"0","0.9745189",0.025481101
"0","0.9875223",0.012477713
"0","0.99034715",0.009652838
"0","0.87046576",0.12953426
"0","0.9262671",0.07373291
"0","0.84018445",0.15981561
"0","0.9140442",0.0859558
"0","0.8035305",0.19646949
"0","0.75283384",0.24716613
"0","0.90787965",0.09212038
"0","0.9580538",0.041946165
"0","0.96710503",0.032894935
"0","0.97093695",0.029063059
"0","0.9740926",0.025907338
"0","0.9662838",0.03371618
"0","0.9304136",0.06958638
"0","0.95833004",0.04166995
"0","0.9438499",0.05615002
"0","0.9566618",0.043338146
"0","0.9372219",0.06277816
"0","0.95009446",0.04990558
"0","0.97538686",0.024613097
"0","0.9896164",0.010383576
"0","0.9816643",0.018335678
"0","0.93152696",0.068473086
"0","0.96294224",0.03705775
"0","0.95546204",0.044537935
"0","0.9107824",0.08921761
"0","0.88357055",0.11642953
"0","0.9258574",0.07414259
"0","0.81698436",0.1830157
"0","0.89911246",0.10088752
"0","0.82474315",0.17525686
"0","0.85149366",0.14850633
"0","0.8090416",0.19095841
"1","0.3843543",0.6156457
"1","0.1789273",0.82107276
"0","0.7310193",0.26898068
"1","0.040924646",0.95907533
"1","0.0032682163",0.99673176
"1","0.00066791003",0.999332
"1","0.00031151564",0.9996885
"1","0.04737044",0.9526295
"1","0.0386504",0.9613496
"1","1.2553917e-05",0.9999875
"1","0.02982839",0.9701716
"1","0.0056986404",0.9943013
"1","0.0010771854",0.99892277
"1","8.397399e-06",0.99999166
"1","0.00013376918",0.99986625
"1","0.059545368",0.94045466
"1","0.0018851283",0.99811494
"1","0.014649752",0.98535025
"1","0.047780834",0.9522191
"1","0.00088858086",0.99911135
"1","0.008358284",0.99164176
"1","0.053288788",0.9467112
"1","0.011102982",0.988897
"1","0.06221985",0.9377802
"1","0.011858959",0.98814106
"1","0.022564443",0.9774355
"1","0.032087658",0.9679124
"1","0.0004841418",0.9995159
"1","0.03246895",0.967531
"1","0.0024933778",0.9975067
"1","0.000102763384",0.99989724
"1","8.184305e-05",0.9999181
"1","3.0080313e-05",0.99996996
"1","0.0001853254",0.9998147
"1","0.0009367187",0.9990633
"1","0.01825693",0.9817431
"1","6.195979e-05",0.999938
"1","0.00095880136",0.99904114
"1","0.0023677724",0.99763227
